title,link,image,author,price,discount,publisher,pubdate,isbn,description
<b>말의 품격</b> (말과 사람과 <b>품격</b>에 대한 생각들),http://book.naver.com/bookdb/book_detail.php?bid=12022296,https://bookthumb-phinf.pstatic.net/cover/120/222/12022296.jpg?type=m1&udate=20220112,이기주,14500,13050,황소북스,20170529,8997092774 9788997092772,"말과 사람과 품격에 대한 이야기『<b>말의 품격</b>』은 《언어의 온도》로 많은 독자의 공감을 얻은 이기주 작가의 에세이집이다. 경청, 공감, 반응, 뒷말, 인향, 소음 등의 24개의 키워드를 통해 말과 사람과 품격에 대한 생각들을 풀어낸다. 저자의 인문학적 소양을 바탕과 감성이 더해져 볼거리와 생각거리를..."
<b>어떻게 살 것인가</b>,http://book.naver.com/bookdb/book_detail.php?bid=7150363,https://bookthumb-phinf.pstatic.net/cover/071/503/07150363.jpg?type=m1&udate=20151014,유시민,15000,13500,생각의길,20130313,8965132282 9788965132288,"자유인으로 돌아온 유시민, '<b>어떻게 살 것인</b>지'에 대해 되짚어본다!  정치인에서 자유인으로 돌아와 내놓은 유시민의 『<b>어떻게 살 것인가</b>』. 세상의 변화를 누구보다 예민하게 감지하면서 한 걸음 앞서 시대와 삶의 과제를 고민해 왔던 유시민이 정치시장을 떠나 지식시장으로 복귀하여 내놓은 첫 책이다. 이... "
"<b>골든아워</b> 2 (생과 사의 경계, 중증외상센터의 기록 2013~2018)",http://book.naver.com/bookdb/book_detail.php?bid=14036995,https://bookthumb-phinf.pstatic.net/cover/140/369/14036995.jpg?type=m1&udate=20210914,이국종,15800,14220,흐름출판,20181002,8965962838 9788965962830,"<b>골든아워</b> 60분에 생사가 달린 목숨들, 그리고 그들을 지키려 애써온 사람들의 생생한 이야기!외상외과 의사 이국종 교수가 대한민국 중증외상 의료 현실에 대한 냉정한 보고서이자, 시스템이 기능하지 않는 현실 속에서도 생명을 지키려 애써온 사람들의 분투를 날 것 그대로 담아낸 『<b>골든아워</b>』 제1권...."
<b>7년의 밤</b>,http://book.naver.com/bookdb/book_detail.php?bid=6586721,https://bookthumb-phinf.pstatic.net/cover/065/867/06586721.jpg?type=m1&udate=20130509,정유정,14500,13050,은행나무,20110323,8956604991 9788956604992,"<b>7년의 밤</b> 동안 아버지와 아들에게 일어난 슬프고 신비로우며 통렬한 이야기가 펼쳐진다.  세령호의... 세령호의 재앙으로부터 7년 후, 등대마을에서 조용히 지내던 승환과 서원은 야간 스쿠버다이빙을... 상자 속에 들어 있던 소설은 승환이 쓴 것으로 7년 전의 세령호의 재앙이 낱낱이 기록되어 있는데…"
<b>가면산장 살인사건</b>,http://book.naver.com/bookdb/book_detail.php?bid=8273055,https://bookthumb-phinf.pstatic.net/cover/082/730/08273055.jpg?type=m1&udate=20210611,히가시노 게이고,14800,13320,재인,20140926,899098257X 9788990982575,강도와 인질 간의 숨 막히는 줄다리기!히가시노 게이고의 소설 『<b>가면산장 살인사건</b>』. 저자와 독자가 아슬아슬한 두뇌 싸움을 벌이게 되는 이 작품은 외딴 산장에 모인 여덟 명의 남녀와 한밤중에 침입한 은행 강도범의 인질극을 그리고 있다. 잘 짜인 무대에서 벌어지는 연극과도 같은 이 소설은 그 누구도... 
<b>고양이</b> 해결사 깜냥 4 (눈썰매장을 씽씽 달려라!),http://book.naver.com/bookdb/book_detail.php?bid=21398581,https://bookthumb-phinf.pstatic.net/cover/213/985/21398581.jpg?type=m1&udate=20220120,홍민정,11000,9900,창비,20220121,8936448137 9788936448134,"누구나 즐겁게!★어린이 베스트셀러 1위, 『<b>고양이</b> 해결사 깜냥』 4권 출간★출간 즉시 어린이 분야 1위를 기록한 화제의 베스트셀러 『<b>고양이</b> 해결사 깜냥』이 네 번째 책으로 돌아왔다. 겨울을 맞은 떠돌이 <b>고양이</b> 깜냥이 매서운 추위를 피해 향한 곳은 시내의 자그마한 눈썰매장이다. 깜냥은 야간 근무 중인... "
<b>어디서 살 것인가</b> (<b>우리가 살고 싶은 곳의 기준을 바꾸다</b>),http://book.naver.com/bookdb/book_detail.php?bid=13642418,https://bookthumb-phinf.pstatic.net/cover/136/424/13642418.jpg?type=m1&udate=20210915,유현준,16000,14400,을유문화사,20180530,8932473803 9788932473802,"<b>살고 싶은 곳</b>은 어떤 곳일까?건축과 공간을 읽는 방법을 소개하고 다양한 삶의 결이 깃든 좋은 터전을 제안하며 삶의 방향성에 맞춰 스스로 <b>살</b> 곳을 변화시켜 갈 수 있도록 돕는 건축가 유현준의 『<b>어디서 살</b>... 있는 <b>곳</b>, <b>우리가</b> 원하는 삶의 방향에 부합하는 도시로의 변화해야 한다고 말한다.

중심도 없고 경계도... "
<b>아주 작은 습관의 힘</b> (최고의 변화는 어떻게 만들어지는가),http://book.naver.com/bookdb/book_detail.php?bid=14531783,https://bookthumb-phinf.pstatic.net/cover/145/317/14531783.jpg?type=m1&udate=20220413,제임스 클리어,16000,14400,비즈니스북스,20190226,1162540648 9791162540640,"더 이상 아무것도 할 수 없을 것 같았던 때 조금씩 시도한 아주 작은 일들이 삶을 바꿨다!단계적이고 체계적인 자기계발 방법을 찾는 사람들을 위한 『<b>아주 작은 습관의 힘</b>』. 고교 시절 촉망받는 야구선수였던 저자는 연습 중 동료의 야구 배트에 얼굴을 정통으로 강타당하는 큰 사고를 당했고, 걸을..."
"<b>방구석 미술관</b> 2 (가볍게 시작해 볼수록 빠져드는 한국 현대미술,한국)",http://book.naver.com/bookdb/book_detail.php?bid=17356808,https://bookthumb-phinf.pstatic.net/cover/173/568/17356808.jpg?type=m1&udate=20201110,조원재,18500,16650,블랙피쉬,20211221,8968332843 9788968332845,《<b>방구석 미술관</b>》이 2탄 ‘한국’ 편으로 돌아왔다!2018년 출간 이후 지금까지 예술 분야 1위를 굳건히 지키고 있는 명실상부 최고의 미술 교양서 《<b>방구석 미술관</b>》. 미술은 고상하고 우아한 사람들의 전유물이라 여겨왔던 대중들에게 큰 사랑을 받으며 새로운 미술 교양의 지평을 연 이 책이 2탄 ‘한국’... 
<b>신경 끄기의 기술</b> (인생에서 가장 중요한 것만 남기는 힘),http://book.naver.com/bookdb/book_detail.php?bid=12669802,https://bookthumb-phinf.pstatic.net/cover/126/698/12669802.jpg?type=m1&udate=20210915,마크 맨슨,15000,13500,갤리온,20171027,8901219948 9788901219943,"현재 미국에서 가장 주목받는 인플루언서 마크 맨슨은 『<b>신경 끄기의 기술</b>』을 통해, 기존의 자기계발서를 뒤집는 신선한 패러다임을 선보인다. 무조건 믿고 노력하는 것만으로 인생이 특별해지거나 행복해지는 것은 아니며, 앞뒤 따지지 않는 긍정은 오히려 독이라는 것이다. 때론 내려놓고, 포기하고, 더... "
<b>철학은 어떻게 삶의 무기가 되는가</b>,http://book.naver.com/bookdb/book_detail.php?bid=14457455,https://bookthumb-phinf.pstatic.net/cover/144/574/14457455.jpg?type=m1&udate=20220402,야마구치 슈,16000,14400,다산초당,20190121,113062045X 9791130620459,"오늘 나의 문제를 해결해 주는 강력한 지적 <b>무기</b>, <b>철학</b>을 말하다!한 치 앞을 알 수 없는 오늘을 사는 우리에게 가장 필요한 <b>무기</b>는 무엇일까? 누구보다 비즈니스 현장에서 <b>철학</b>을 유용하게 사용해 온 사람으로, 경영학 학위, MBA도 없이 세계 1위 경영·인사 컨설팅 기업 콘페리헤이그룹의 임원 자리에..."
<b>아홉 살 마음 사전</b>,http://book.naver.com/bookdb/book_detail.php?bid=11792225,https://bookthumb-phinf.pstatic.net/cover/117/922/11792225.jpg?type=m1&udate=20220122,박성우,11000,9900,창비,20170310,8936447017 9788936447014,『<b>아홉 살 마음 사전</b>』은 따뜻하고 유머러스한 동시로 어린 독자들에게 '감정'을 알려줍니다. 초등학교 저학년 어린이들이 생활에서 활용할 수 있는 감정 표현을 그림과 함께 사전 형태로 소개합니다. 마음을 표현하는 단어 80개를 구체적이고 실감 나는 글과 그림으로 만나보세요. 다양한 감정 표현을 익힘으로써... 
