title,category,genre,year,direct,actors,content
페인리스,극영화,"드라마,공포",2012,주앙 카를로스 메디나,"루이소 베르데조,주앙 카를로스 메디나","스페인내전,격리수용,병원,골수이식,잔혹,과거"
러쉬라이트,극영화,"범죄,스릴러,액션",2013,안토니 스투츠,"안토니 스투츠,애슐리 스캇 메이어스","공모,범죄,유산,가장,인생역전"
"패션, 위험한 열정",극영화,"드라마,스릴러",2012,브라이언 드 팔마,브라이언 드 팔마,"광고회사,욕망,성공,두여자,스릴러"
슈퍼스타,극영화,"드라마,코메디",2012,자비에 지아놀리 ,자비에 지아놀리 ,"슈퍼스타,토크쇼,미디어,군중심리"
메리다와 마법의 숲 ,극영화,"판타지,액션",2012,"마크 앤드류스,브렌다 샤프먼","브렌다 샤프먼,아이린 메치","공주,스코틀랜드,양궁,저주,픽사스튜디오"
네 무덤에 침을 뱉어라,극영화,"범죄,스릴러,공포",2010,스티븐 R. 먼로,스티븐 R. 먼로,"강간,보안관,복수,산장,성폭행,소설가,여류소설가,집단강간,집단성폭행,오두막"
카페 드 플로르 ,극영화,"드라마,로맨스",2011,장 마크 발레,장 마크 발레,"인연,파리,몬트리올,1960년대"
가시나무 왕,애니메이션,"판타지,액션",2009,카타야마 카즈요시,"카타야마 카즈요시,야마구치 히로시","메두사,바이러스,냉동인간,스코틀랜드"
세레모니,극영화,코메디,2010,맥스 윙클러,맥스 윙클러,"동화작가,연상,결혼식,삼각관계"
컴플라이언스,극영화,"드라마,범죄,스릴러",2012,크레이그 조벨,크레이그 조벨,"공권력,독립영화,심문,보이스피싱,성폭력,실화바탕"
폭스파이어,극영화,드라마,2012,로랑 깡테,로랑 깡테,"소녀,그룹,여섯 명,위기"
포가튼 - 잊혀진 소녀,극영화,공포,2012,알렉스 슈미트,"알렉스 슈미트,발렌틴 메로이차","실종,소녀,우정,섬"
맨 오브 스틸,극영화,"판타지,액션",2013,잭 스나이더,"제리 시겔,데이비드 고여,죠 슈스터","만화원작,미국만화원작,슈퍼히어로,슈퍼맨,슈퍼히어로,시리즈,영웅,외계인,히어로,외계행성,외계생명체,외계인침공,수퍼맨,속편"
블링 링,극영화,"드라마,범죄",2013,소피아 코폴라,,"10대,비행청소년,일탈,범죄"
프린세스 사쿠라,극영화,"드라마,로맨스",2012,하시모토 하지메,"요시모토 마사히로,하시모토 하지메","사랑,명문가,공주,타락,외동딸,가문"
탈옥의사 엔마,극영화,"드라마,범죄",2013,코누마 유이치,유하라 히로야스,"난치병,병원비,탈옥,여동생,수술"
무사 4대문파와의혈투,극영화,"드라마,액션",2011,서호봉,서호봉,"왜구,전투,호위무사,무술고수"
엔더스 게임,극영화,"어드벤처,액션",2013,개빈 후드,개빈 후드,"우주,군대,침공,재능"
